action,relative_path,old_sha256,new_sha256,reason,restore_source,git_commit
ADDED,src/controllers/hybrid_llm_safety_controller.py,,bee61ae06a70d3a47bbf99df99b7d1d1043562d5fcec581a18922d4e71c975b6,Hybrid+safe controller entrypoint,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,src/llm/postprocessor.py,,ea2feddc763474275075c9c356cfbb575fcb709fefd9591fe049c19d3ff05288,Deterministic cooperative and interface postprocessing,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,raw_llm_controller.py,,c6032bf541c72bcf5f5eaa3d558ad38e997e89e2a279651a767b993387dd2bf5,Root wrapper for the raw controller,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,hybrid_llm_controller.py,,28af40df8359d19faf20e5b26b3aaf16a283f675e039b0584528891830080e37,Root wrapper for the hybrid controller,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,hybrid_llm_safety_controller.py,,c864838066c1746ad3e3a89cf5f909c7d99fe54bb874a492d854ccea464baf9a,Root wrapper for the hybrid+safety controller,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,tests/test_decision_pipeline.py,,b058fca9fde8d97f9b9996ad5f418d3e77ae80774f400e301a8e1c7946225228,Decision pipeline regression tests,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,tests/test_llm_postprocessor.py,,f72e89e86369e94a049ace4ede28d6a8a21cb7dfc94bb6a431064c5533665840,Postprocessor regression tests,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,src/common/config.py,,5F69E1893DCA2C9D10C00C0F1D603969B5B55FE7ECE69A9DBC0A990DD482D899,Add a fallback YAML reader so the minimal pytest environment does not require PyYAML,HEAD,e9d712b
ADDED,src/controllers/decision_rules.py,,A8617E28E53FDA46EC446BE54260867DF52A998E5868E1BA12572C050B2E64CD,Pure baseline/cooperative decision helpers for regression tests,HEAD,e9d712b
MODIFIED,src/experiments/scenario_generator.py,,60EE25A725FFBAA6302F29602D9299A0527C0B625FD3E052B651F46E085DDDE2,Use the shared YAML loader instead of a direct PyYAML import,HEAD,e9d712b
ADDED,tests/__init__.py,,9A1182049EC5BB6CFD249CDB55605CD58AFAE24FBF9CB924CD013D31B5076F9F,Make tests importable as a package for shared fakes,HEAD,e9d712b
ADDED,tests/conftest.py,,B27497BB2044366F021A57D94950439658AE00BE58F7502D60AD69DEE7F21EF2,Add the repository root to sys.path for direct pytest runs,HEAD,e9d712b
ADDED,tests/fakes.py,,8768A9A897BD3F4BB1B5427BF652BB271C575DAFE5BCB5E565CCF5237C81720C,Minimal provider/postprocessor/safety test doubles,HEAD,e9d712b
MODIFIED,tests/test_decision_pipeline.py,,CEE1A6CFC4E37DDE6219CB152CC7C0FC5C3C0F49F2D53CD6CAE3159CD009B85D,Rewrite pipeline regression coverage to use only pure helpers and fakes,HEAD,e9d712b
ADDED,pytest.ini,,8A46810FB089ECC98DCF29553E06D1DAF03FA745265F9AF5FF9871905F1BD7A1,Configure pytest discovery for the minimal environment,HEAD,e9d712b
ADDED,requirements-test.txt,,6700D31332D98638760043AFB099E1C80D2AC094B9CD5A18E1B10365DE2700BD,Declare the tiny test-only dependency set,HEAD,e9d712b
ADDED,scripts/phase18_sumo_smoke.py,,8DF1AB719788223A36A64A2DD9299E39DFAF6413949E76C384741977166622E78,Standalone headless SUMO smoke runner for Phase 18,HEAD,e9d712b

